Tipo,Matéria,Assunto,Questões Encontradas,Percentual (%),Freq. Acumulada,Questões no Caderno
ASSUNTO,Relações Internacionais e Comércio Internacional,Estágios de Integração e Globalização,5,0.09%,88.92%,0
ASSUNTO,Relações Internacionais e Comércio Internacional,Globalização e a Nova Ordem Mundial,4,0.07%,89.57%,0
ASSUNTO,Relações Internacionais e Comércio Internacional,Políticas Comerciais,4,0.07%,90.21%,0
ASSUNTO,Relações Internacionais e Comércio Internacional,"Tratados de Segurança (OTAN, Pacto de Varsóvia etc)",4,0.07%,90.85%,0
ASSUNTO,Relações Internacionais e Comércio Internacional,Teoria Política,3,0.05%,91.33%,0
ASSUNTO,Relações Internacionais e Comércio Internacional,Teorias do Comércio Internacional,3,0.05%,91.81%,0
ASSUNTO,Relações Internacionais e Comércio Internacional,Subsídios,3,0.05%,92.30%,0
ASSUNTO,Relações Internacionais e Comércio Internacional,Medidas de Salvaguarda,2,0.04%,92.62%,0
ASSUNTO,Relações Internacionais e Comércio Internacional,Tratado de Westfália,1,0.02%,92.78%,0
ASSUNTO,Relações Internacionais e Comércio Internacional,UNCTAD e Sistemas Preferenciais,1,0.02%,92.94%,0
ASSUNTO,Relações Internacionais e Comércio Internacional,Outras Instituições Intervenientes,1,0.02%,93.10%,0
ASSUNTO,Relações Internacionais e Comércio Internacional,Sem Classificação,43,0.75%,100.00%,0
MATÉRIA,Economia e Finanças Públicas,,452,7.93%,,452
ASSUNTO,Economia e Finanças Públicas,Balanço de Pagamentos,30,0.53%,6.64%,0
ASSUNTO,Economia e Finanças Públicas,Regimes Cambiais,19,0.33%,10.84%,0
ASSUNTO,Economia e Finanças Públicas,"Século XIX (Economia Cafeeira, Escravismo e Início da Industrialização)",17,0.30%,14.60%,0
ASSUNTO,Economia e Finanças Públicas,Início da Industrialização,16,0.28%,18.14%,0
ASSUNTO,Economia e Finanças Públicas,Elasticidade Preço da Demanda,15,0.26%,21.46%,0
ASSUNTO,Economia e Finanças Públicas,Conceitos e Identidades Macroeconômicos,15,0.26%,24.78%,0
ASSUNTO,Economia e Finanças Públicas,Instrumentos de Politica Internacional,14,0.25%,27.88%,0
ASSUNTO,Economia e Finanças Públicas,Concorrência Perfeita,13,0.23%,30.75%,0
ASSUNTO,Economia e Finanças Públicas,Economia Aberta (Modelo Mundell-Flemming),13,0.23%,33.63%,0
ASSUNTO,Economia e Finanças Públicas,Política Monetária,13,0.23%,36.50%,0
ASSUNTO,Economia e Finanças Públicas,Comercio Internacional e Competição Imperfeita,13,0.23%,39.38%,0
ASSUNTO,Economia e Finanças Públicas,Sistema Financeiro e Monetário Internacional,13,0.23%,42.26%,0
ASSUNTO,Economia e Finanças Públicas,Economia no Pós-Guerra,12,0.21%,44.91%,0
ASSUNTO,Economia e Finanças Públicas,Monopólio,10,0.18%,47.12%,0
ASSUNTO,Economia e Finanças Públicas,Teorias do Desenvolvimento Econômico,10,0.18%,49.34%,0
ASSUNTO,Economia e Finanças Públicas,Preferências e Curvas de Indiferença,9,0.16%,51.33%,0
ASSUNTO,Economia e Finanças Públicas,Plano Trienal,9,0.16%,53.32%,0
ASSUNTO,Economia e Finanças Públicas,Plano Cruzado,9,0.16%,55.31%,0
ASSUNTO,Economia e Finanças Públicas,Demanda e Oferta,8,0.14%,57.08%,0
ASSUNTO,Economia e Finanças Públicas,"Dívida Pública, NFSP e Tipos de Déficit Público no Brasil",8,0.14%,58.85%,0
ASSUNTO,Economia e Finanças Públicas,Depressão dos Anos 1930,8,0.14%,60.62%,0
ASSUNTO,Economia e Finanças Públicas,Plano de Metas e o Governo JK,8,0.14%,62.39%,0
ASSUNTO,Economia e Finanças Públicas,Políticas de Comércio Internacional,7,0.12%,63.94%,0
ASSUNTO,Economia e Finanças Públicas,Modelo de Solow,7,0.12%,65.49%,0
ASSUNTO,Economia e Finanças Públicas,Modelo Ricardiano de Vantagens Comparativas,7,0.12%,67.04%,0
ASSUNTO,Economia e Finanças Públicas,Incidência Tributária - Impacto da Carga Tributária sobre a Economia,6,0.11%,68.36%,0
ASSUNTO,Economia e Finanças Públicas,Modelo Heckscher-Ohlin,6,0.11%,69.69%,0
